Tarefa;Evento Plugin
Designar_Rede_Metalica.manualTask;Workforce_UpdateTaskSLA_Plugin
Desinstalar_e_Testar_Servicos.manualTask;WFCampoAndUpdateTaskSLA_Plugin
Desinterrupcao.manualTask;""
Enviar_Documentacao_Entrega_de_Servico.manualTask;Workforce_UpdateTaskSLA_Plugin
Enviar_Equipamento_Conversor.manualTask;Workforce_UpdateTaskSLA_Plugin
Enviar_Equipamento_Conversor_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Enviar_Equipamento_CPE.manualTask;Workforce_UpdateTaskSLA_Plugin
Enviar_Equipamento_CPE_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Estruturar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Executar_Programacao_Cliente_NOC.manualTask;Workforce_UpdateTaskSLA_Plugin
Executar_Programacao_Cor.manualTask;Workforce_UpdateTaskSLA_Plugin
Executar_Programacao_Fac.manualTask;Workforce_UpdateTaskSLA_Plugin
Executar_Programacao_Mant.manualTask;Workforce_UpdateTaskSLA_Plugin
Executar_Triagem_em_Campo.manualTask;Workforce_UpdateTaskSLA_Plugin
Executar_Viabilidade_Manualmente.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_Capacidade_Dados.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_Capacidade_Transmissao.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Alocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Ativar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Ativar_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizacao_Cadastro.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Inventario.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Inventario_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Inventario_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Inventario_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Falha_de_TI-Atualizar_Monitoramento_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
